iter	Passed	Remaining
0	134	133972
1	143	71472
2	149	49540
3	158	39396
4	164	32676
5	171	28490
6	175	24840
7	177	21994
8	179	19799
9	182	18019
10	185	16714
11	188	15534
12	190	14462
13	192	13532
14	193	12727
15	195	12050
16	200	11578
17	204	11172
18	206	10674
19	208	10211
20	210	9792
21	212	9435
22	216	9181
23	218	8873
24	220	8588
25	221	8313
26	223	8055
27	225	7813
28	228	7636
29	231	7495
30	233	7308
31	235	7120
32	236	6943
33	238	6770
34	239	6612
35	241	6473
36	245	6387
37	247	6267
38	248	6134
39	250	6009
40	251	5889
41	253	5775
42	254	5665
43	256	5562
44	259	5502
45	261	5421
46	262	5332
47	264	5249
48	266	5169
49	267	5090
50	269	5012
51	272	4971
52	275	4922
53	277	4858
54	279	4794
55	280	4729
56	282	4666
57	283	4606
58	286	4571
59	289	4535
60	291	4484
61	292	4431
62	294	4379
63	295	4327
64	297	4279
65	298	4229
66	300	4187
67	304	4173
68	306	4137
69	308	4093
70	309	4047
71	310	4005
72	312	3964
73	313	3923
74	315	3885
75	318	3874
76	321	3852
77	323	3823
78	324	3788
79	326	3752
80	327	3719
81	329	3691
82	331	3657
83	335	3655
84	337	3632
85	339	3603
86	340	3575
87	342	3546
88	343	3517
89	344	3487
90	348	3477
91	351	3464
92	352	3438
93	353	3411
94	355	3386
95	356	3359
96	358	3334
97	359	3310
98	362	3296
99	365	3286
100	367	3270
101	369	3249
102	370	3226
103	372	3205
104	373	3182
105	374	3161
106	379	3167
107	381	3154
108	383	3134
109	385	3116
110	386	3096
111	388	3077
112	389	3056
113	390	3037
114	395	3043
115	397	3030
116	398	3008
117	400	2991
118	401	2973
119	402	2955
120	404	2938
121	405	2918
122	408	2910
123	411	2905
124	413	2894
125	415	2879
126	416	2862
127	418	2848
128	419	2833
129	422	2824
130	425	2824
131	427	2811
132	429	2796
133	430	2783
134	432	2770
135	433	2755
136	435	2741
137	437	2732
138	441	2733
139	443	2722
140	444	2708
141	445	2691
142	446	2678
143	448	2664
144	449	2651
145	451	2641
146	454	2636
147	456	2628
148	458	2618
149	460	2607
150	461	2597
151	463	2585
152	465	2574
153	467	2566
154	471	2570
155	473	2560
156	474	2549
157	476	2539
158	477	2528
159	479	2516
160	480	2502
161	482	2496
162	487	2504
163	489	2494
164	490	2484
165	492	2474
166	494	2464
167	495	2453
168	498	2448
169	500	2444
170	503	2439
171	504	2429
172	506	2421
173	508	2412
174	509	2403
175	511	2394
176	514	2393
177	516	2385
178	518	2377
179	520	2369
180	521	2359
181	522	2349
182	524	2339
183	525	2330
184	530	2338
185	532	2331
186	534	2322
187	535	2312
188	536	2302
189	538	2293
190	539	2284
191	540	2276
192	543	2273
193	546	2269
194	548	2263
195	549	2255
196	551	2247
197	552	2238
198	554	2230
199	555	2221
200	557	2217
201	560	2215
202	562	2207
203	563	2199
204	565	2191
205	566	2185
206	568	2177
207	569	2170
208	572	2167
209	576	2169
210	579	2165
211	581	2160
212	583	2154
213	584	2147
214	586	2141
215	589	2140
216	592	2138
217	594	2132
218	595	2125
219	597	2118
220	599	2111
221	600	2105
222	604	2105
223	607	2103
224	609	2098
225	610	2091
226	612	2085
227	614	2079
228	615	2072
229	618	2070
230	621	2067
231	622	2062
232	624	2055
233	625	2048
234	627	2041
235	628	2035
236	630	2029
237	631	2022
238	635	2023
239	637	2019
240	639	2013
241	641	2008
242	642	2001
243	644	1995
244	645	1989
245	647	1983
246	652	1988
247	654	1984
248	656	1978
249	657	1973
250	659	1966
251	660	1960
252	661	1953
253	663	1949
254	667	1950
255	670	1947
256	671	1941
257	672	1935
258	674	1929
259	675	1923
260	677	1918
261	680	1916
262	683	1914
263	684	1909
264	686	1903
265	687	1897
266	689	1892
267	690	1886
268	691	1880
269	694	1877
270	697	1877
271	699	1871
272	700	1865
273	701	1859
274	703	1854
275	704	1848
276	706	1842
277	707	1838
278	710	1835
279	712	1833
280	714	1827
281	715	1822
282	717	1816
283	718	1812
284	720	1807
285	721	1801
286	723	1796
287	726	1794
288	727	1790
289	729	1785
290	730	1779
291	731	1774
292	733	1769
293	734	1764
294	736	1759
295	737	1754
296	741	1754
297	743	1751
298	745	1746
299	746	1741
300	748	1737
301	749	1732
302	751	1727
303	752	1723
304	755	1721
305	758	1719
306	759	1715
307	761	1710
308	763	1706
309	764	1701
310	766	1697
311	767	1692
312	769	1689
313	773	1689
314	775	1686
315	777	1682
316	779	1678
317	780	1674
318	782	1670
319	787	1672
320	789	1669
321	790	1665
322	792	1660
323	794	1656
324	795	1652
325	796	1647
326	798	1643
327	803	1645
328	805	1643
329	807	1638
330	808	1634
331	810	1630
332	811	1625
333	813	1622
334	816	1619
335	818	1618
336	820	1615
337	822	1610
338	824	1606
339	825	1602
340	826	1598
341	828	1593
342	831	1592
343	833	1590
344	835	1585
345	836	1581
346	837	1576
347	839	1572
348	840	1568
349	842	1563
350	843	1559
351	846	1557
352	848	1555
353	850	1551
354	851	1547
355	853	1543
356	854	1539
357	856	1535
358	857	1531
359	859	1527
360	862	1525
361	864	1524
362	866	1520
363	867	1516
364	869	1512
365	870	1508
366	872	1505
367	874	1501
368	876	1499
369	878	1496
370	880	1492
371	881	1488
372	883	1484
373	884	1480
374	886	1477
375	887	1473
376	889	1469
377	891	1466
378	893	1463
379	894	1460
380	896	1456
381	897	1452
382	899	1448
383	900	1444
384	902	1441
385	903	1437
386	906	1435
387	908	1433
388	910	1430
389	912	1426
390	913	1422
391	914	1419
392	916	1415
393	917	1411
394	919	1407
395	921	1406
396	924	1404
397	926	1400
398	927	1397
399	928	1393
400	930	1389
401	931	1386
402	933	1382
403	934	1379
404	937	1376
405	939	1374
406	940	1370
407	942	1367
408	943	1363
409	945	1360
410	946	1357
411	948	1354
412	951	1351
413	953	1349
414	955	1346
415	956	1343
416	958	1339
417	959	1336
418	961	1333
419	962	1329
420	964	1326
421	966	1323
422	968	1321
423	970	1318
424	971	1314
425	973	1311
426	974	1307
427	976	1304
428	977	1301
429	979	1297
430	980	1295
431	984	1294
432	986	1291
433	988	1288
434	989	1285
435	990	1281
436	992	1278
437	993	1275
438	995	1271
439	998	1270
440	1000	1268
441	1002	1265
442	1003	1262
443	1005	1258
444	1006	1255
445	1007	1251
446	1009	1248
447	1010	1245
448	1014	1244
449	1016	1241
450	1017	1238
451	1018	1235
452	1020	1231
453	1021	1228
454	1023	1225
455	1024	1222
456	1026	1219
457	1028	1217
458	1030	1214
459	1032	1211
460	1033	1208
461	1035	1205
462	1036	1202
463	1038	1199
464	1040	1196
465	1042	1194
466	1044	1191
467	1046	1189
468	1048	1187
469	1050	1184
470	1051	1181
471	1053	1178
472	1054	1175
473	1056	1171
474	1059	1170
475	1061	1168
476	1063	1165
477	1064	1162
478	1066	1159
479	1067	1156
480	1069	1153
481	1070	1150
482	1073	1148
483	1075	1147
484	1077	1144
485	1078	1140
486	1080	1138
487	1082	1135
488	1083	1132
489	1085	1129
490	1087	1127
491	1090	1125
492	1091	1122
493	1093	1119
494	1094	1116
495	1095	1113
496	1097	1110
497	1098	1107
498	1100	1104
499	1101	1101
500	1105	1101
501	1107	1098
502	1108	1095
503	1110	1092
504	1112	1090
505	1113	1087
506	1115	1084
507	1117	1082
508	1120	1081
509	1122	1078
510	1123	1075
511	1125	1072
512	1127	1069
513	1128	1066
514	1130	1064
515	1131	1061
516	1134	1060
517	1136	1057
518	1138	1055
519	1140	1052
520	1141	1049
521	1143	1047
522	1145	1044
523	1149	1043
524	1151	1041
525	1153	1039
526	1155	1036
527	1157	1034
528	1158	1031
529	1160	1028
530	1163	1027
531	1166	1026
532	1168	1023
533	1170	1021
534	1171	1018
535	1172	1015
536	1174	1012
537	1175	1009
538	1178	1007
539	1180	1006
540	1182	1003
541	1184	1000
542	1185	997
543	1187	995
544	1188	992
545	1190	989
546	1193	988
547	1196	987
548	1198	984
549	1199	981
550	1201	978
551	1202	976
552	1204	973
553	1205	970
554	1209	969
555	1211	967
556	1213	965
557	1215	962
558	1216	959
559	1218	957
560	1219	954
561	1222	952
562	1225	951
563	1227	948
564	1228	946
565	1230	943
566	1231	940
567	1233	938
568	1235	935
569	1237	933
570	1240	932
571	1242	929
572	1244	927
573	1246	924
574	1247	922
575	1249	919
576	1250	916
577	1255	916
578	1257	914
579	1260	912
580	1262	910
581	1263	907
582	1265	905
583	1268	903
584	1272	902
585	1274	900
586	1276	898
587	1278	895
588	1279	892
589	1281	890
590	1284	888
591	1286	886
592	1289	884
593	1291	882
594	1292	879
595	1294	877
596	1295	874
597	1298	873
598	1302	872
599	1304	869
600	1306	867
601	1307	864
602	1309	862
603	1312	860
604	1316	859
605	1318	857
606	1320	855
607	1322	852
608	1323	849
609	1325	847
610	1329	846
611	1332	844
612	1334	842
613	1336	840
614	1337	837
615	1339	834
616	1340	832
617	1345	831
618	1347	829
619	1349	826
620	1350	824
621	1352	821
622	1354	819
623	1355	816
624	1359	815
625	1362	813
626	1364	811
627	1365	808
628	1367	806
629	1368	803
630	1370	801
631	1375	800
632	1378	799
633	1381	797
634	1382	794
635	1384	792
636	1385	789
637	1390	788
638	1400	791
639	1401	788
640	1405	787
641	1408	785
642	1410	782
643	1411	780
644	1413	778
645	1415	775
646	1416	773
647	1420	771
648	1422	769
649	1425	767
650	1426	764
651	1428	762
652	1430	759
653	1432	757
654	1435	756
655	1438	754
656	1440	752
657	1442	749
658	1443	747
659	1445	744
660	1446	741
661	1451	740
662	1454	739
663	1456	736
664	1457	734
665	1459	731
666	1460	729
667	1462	726
668	1465	725
669	1468	723
670	1470	720
671	1472	718
672	1473	716
673	1475	713
674	1476	711
675	1479	709
676	1484	708
677	1486	705
678	1487	703
679	1489	700
680	1490	698
681	1492	695
682	1495	694
683	1499	692
684	1501	690
685	1503	688
686	1505	685
687	1507	683
688	1510	681
689	1512	679
690	1514	677
691	1516	675
692	1518	672
693	1520	670
694	1522	668
695	1525	666
696	1528	664
697	1529	661
698	1531	659
699	1533	657
700	1535	654
701	1537	652
702	1541	651
703	1543	648
704	1545	646
705	1547	644
706	1548	641
707	1550	639
708	1554	637
709	1556	635
710	1558	633
711	1560	631
712	1562	628
713	1563	626
714	1565	623
715	1567	621
716	1570	620
717	1573	618
718	1575	615
719	1577	613
720	1578	610
721	1580	608
722	1582	606
723	1585	604
724	1587	602
725	1590	600
726	1591	597
727	1593	595
728	1594	592
729	1596	590
730	1600	589
731	1603	586
732	1604	584
733	1605	581
734	1607	579
735	1608	577
736	1610	574
737	1611	572
738	1615	570
739	1617	568
740	1618	565
741	1620	563
742	1621	560
743	1623	558
744	1625	556
745	1627	554
746	1630	552
747	1632	550
748	1634	547
749	1635	545
750	1637	542
751	1638	540
752	1640	537
753	1641	535
754	1645	533
755	1647	531
756	1648	529
757	1649	526
758	1651	524
759	1652	521
760	1653	519
